Loss type,Loss value,Loss index,Type,Learning Rate
Refiner/IoU,0.5099080756306649,157,Validation,5e-05
EncoderDecoder/EpochLoss,2.4288884771220824,158,Validation,5e-05
Refiner/EpochLoss,2.2199423476177103,158,Validation,5e-05
Refiner/IoU,0.5097650157616419,158,Validation,5e-05
EncoderDecoder/EpochLoss,2.635938190800302,159,Validation,5e-05
Refiner/EpochLoss,2.3635436753139776,159,Validation,5e-05
Refiner/IoU,0.5102287664352094,159,Validation,5e-05
EncoderDecoder/EpochLoss,2.6310302368858283,160,Validation,5e-05
Refiner/EpochLoss,2.356736851089141,160,Validation,5e-05
Refiner/IoU,0.5074048424468321,160,Validation,5e-05
EncoderDecoder/EpochLoss,2.3916911675649533,161,Validation,5e-05
Refiner/EpochLoss,2.1746554644668805,161,Validation,5e-05
Refiner/IoU,0.5050429082092117,161,Validation,5e-05
EncoderDecoder/EpochLoss,2.526945024027544,162,Validation,5e-05
Refiner/EpochLoss,2.252727325260639,162,Validation,5e-05
Refiner/IoU,0.5127854166223722,162,Validation,5e-05
EncoderDecoder/EpochLoss,2.3620580312960286,163,Validation,5e-05
Refiner/EpochLoss,2.1265605108702883,163,Validation,5e-05
Refiner/IoU,0.4906580785179839,163,Validation,5e-05
EncoderDecoder/EpochLoss,2.2904954036369043,164,Validation,5e-05
Refiner/EpochLoss,2.0485052465077707,164,Validation,5e-05
Refiner/IoU,0.5174056601874969,164,Validation,5e-05
